areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
overview,United Kingdom,K02000001,2021-09-28,113,163452
overview,United Kingdom,K02000001,2021-09-27,121,163339
overview,United Kingdom,K02000001,2021-09-26,108,163218
overview,United Kingdom,K02000001,2021-09-25,127,163110
overview,United Kingdom,K02000001,2021-09-24,137,162983
overview,United Kingdom,K02000001,2021-09-23,146,162846
overview,United Kingdom,K02000001,2021-09-22,155,162700
overview,United Kingdom,K02000001,2021-09-21,134,162545
overview,United Kingdom,K02000001,2021-09-20,155,162411
overview,United Kingdom,K02000001,2021-09-19,131,162256
overview,United Kingdom,K02000001,2021-09-18,134,162125
overview,United Kingdom,K02000001,2021-09-17,181,161991
overview,United Kingdom,K02000001,2021-09-16,156,161810
overview,United Kingdom,K02000001,2021-09-15,162,161654
overview,United Kingdom,K02000001,2021-09-14,161,161492
overview,United Kingdom,K02000001,2021-09-13,115,161331
overview,United Kingdom,K02000001,2021-09-12,141,161216
overview,United Kingdom,K02000001,2021-09-11,142,161075
overview,United Kingdom,K02000001,2021-09-10,148,160933
overview,United Kingdom,K02000001,2021-09-09,177,160785
overview,United Kingdom,K02000001,2021-09-08,140,160608
overview,United Kingdom,K02000001,2021-09-07,158,160468
overview,United Kingdom,K02000001,2021-09-06,152,160310
overview,United Kingdom,K02000001,2021-09-05,158,160158
overview,United Kingdom,K02000001,2021-09-04,140,160000
overview,United Kingdom,K02000001,2021-09-03,149,159860
overview,United Kingdom,K02000001,2021-09-02,134,159711
overview,United Kingdom,K02000001,2021-09-01,120,159577
overview,United Kingdom,K02000001,2021-08-31,122,159457
overview,United Kingdom,K02000001,2021-08-30,108,159335
overview,United Kingdom,K02000001,2021-08-29,136,159227
overview,United Kingdom,K02000001,2021-08-28,132,159091
overview,United Kingdom,K02000001,2021-08-27,136,158959
overview,United Kingdom,K02000001,2021-08-26,122,158823
overview,United Kingdom,K02000001,2021-08-25,105,158701
overview,United Kingdom,K02000001,2021-08-24,116,158596
overview,United Kingdom,K02000001,2021-08-23,119,158480
overview,United Kingdom,K02000001,2021-08-22,126,158361
overview,United Kingdom,K02000001,2021-08-21,112,158235
overview,United Kingdom,K02000001,2021-08-20,125,158123
overview,United Kingdom,K02000001,2021-08-19,113,157998
overview,United Kingdom,K02000001,2021-08-18,109,157885
overview,United Kingdom,K02000001,2021-08-17,97,157776
overview,United Kingdom,K02000001,2021-08-16,84,157679
overview,United Kingdom,K02000001,2021-08-15,90,157595
overview,United Kingdom,K02000001,2021-08-14,102,157505
overview,United Kingdom,K02000001,2021-08-13,96,157403
overview,United Kingdom,K02000001,2021-08-12,103,157307
overview,United Kingdom,K02000001,2021-08-11,86,157204
overview,United Kingdom,K02000001,2021-08-10,83,157118
overview,United Kingdom,K02000001,2021-08-09,84,157035
overview,United Kingdom,K02000001,2021-08-08,82,156951
